timestamp, index, utilization.gpu [%], memory.used [MiB]
2025/10/01 00:17:13.509, 0, 0 %, 1 MiB
2025/10/01 00:17:13.509, 1, 0 %, 1 MiB
2025/10/01 00:17:43.510, 0, 0 %, 1 MiB
2025/10/01 00:17:43.510, 1, 0 %, 1 MiB
2025/10/01 00:18:13.511, 0, 0 %, 1 MiB
2025/10/01 00:18:13.511, 1, 0 %, 1 MiB
2025/10/01 00:18:43.511, 0, 0 %, 1 MiB
2025/10/01 00:18:43.512, 1, 0 %, 1 MiB
2025/10/01 00:19:13.512, 0, 0 %, 1 MiB
2025/10/01 00:19:13.513, 1, 0 %, 1 MiB
2025/10/01 00:19:43.513, 0, 0 %, 1 MiB
2025/10/01 00:19:43.514, 1, 0 %, 1 MiB
2025/10/01 00:20:13.514, 0, 0 %, 1 MiB
2025/10/01 00:20:13.515, 1, 0 %, 1 MiB
2025/10/01 00:20:43.515, 0, 0 %, 1 MiB
2025/10/01 00:20:43.516, 1, 0 %, 1 MiB
2025/10/01 00:21:13.516, 0, 0 %, 1 MiB
2025/10/01 00:21:13.517, 1, 0 %, 1 MiB
2025/10/01 00:21:43.517, 0, 0 %, 1 MiB
2025/10/01 00:21:43.518, 1, 0 %, 1 MiB
2025/10/01 00:22:13.519, 0, 0 %, 1 MiB
2025/10/01 00:22:13.519, 1, 0 %, 1 MiB
2025/10/01 00:22:43.519, 0, 0 %, 1 MiB
2025/10/01 00:22:43.520, 1, 0 %, 1 MiB
2025/10/01 00:23:13.521, 0, 0 %, 1 MiB
2025/10/01 00:23:13.521, 1, 0 %, 1 MiB
2025/10/01 00:23:43.522, 0, 0 %, 1 MiB
2025/10/01 00:23:43.522, 1, 0 %, 1 MiB
2025/10/01 00:24:13.523, 0, 0 %, 1 MiB
2025/10/01 00:24:13.523, 1, 0 %, 1 MiB
2025/10/01 00:24:43.524, 0, 0 %, 1 MiB
2025/10/01 00:24:43.524, 1, 0 %, 1 MiB
2025/10/01 00:25:13.524, 0, 0 %, 1 MiB
2025/10/01 00:25:13.525, 1, 0 %, 1 MiB
2025/10/01 00:25:43.526, 0, 0 %, 1 MiB
2025/10/01 00:25:43.526, 1, 0 %, 1 MiB
2025/10/01 00:26:13.527, 0, 0 %, 1 MiB
2025/10/01 00:26:13.527, 1, 0 %, 1 MiB
2025/10/01 00:26:43.528, 0, 0 %, 1 MiB
2025/10/01 00:26:43.529, 1, 0 %, 1 MiB
2025/10/01 00:27:13.529, 0, 0 %, 1 MiB
2025/10/01 00:27:13.530, 1, 0 %, 1 MiB
2025/10/01 00:27:43.530, 0, 0 %, 1 MiB
2025/10/01 00:27:43.531, 1, 0 %, 1 MiB
2025/10/01 00:28:13.531, 0, 0 %, 1 MiB
2025/10/01 00:28:13.531, 1, 0 %, 1 MiB
2025/10/01 00:28:43.532, 0, 0 %, 1 MiB
2025/10/01 00:28:43.532, 1, 0 %, 1 MiB
2025/10/01 00:29:13.533, 0, 0 %, 1 MiB
2025/10/01 00:29:13.534, 1, 0 %, 1 MiB
2025/10/01 00:29:43.534, 0, 0 %, 1 MiB
2025/10/01 00:29:43.535, 1, 0 %, 1 MiB
2025/10/01 00:30:13.535, 0, 0 %, 1 MiB
2025/10/01 00:30:13.536, 1, 0 %, 1 MiB
2025/10/01 00:30:43.536, 0, 0 %, 1 MiB
2025/10/01 00:30:43.536, 1, 0 %, 1 MiB
2025/10/01 00:31:13.537, 0, 0 %, 1 MiB
2025/10/01 00:31:13.537, 1, 0 %, 1 MiB
2025/10/01 00:31:43.538, 0, 0 %, 1 MiB
2025/10/01 00:31:43.538, 1, 0 %, 1 MiB
2025/10/01 00:32:13.539, 0, 0 %, 1 MiB
2025/10/01 00:32:13.539, 1, 0 %, 1 MiB
2025/10/01 00:32:43.540, 0, 0 %, 1 MiB
2025/10/01 00:32:43.540, 1, 0 %, 1 MiB
2025/10/01 00:33:13.540, 0, 0 %, 1 MiB
2025/10/01 00:33:13.541, 1, 0 %, 1 MiB
2025/10/01 00:33:43.541, 0, 0 %, 1 MiB
2025/10/01 00:33:43.541, 1, 0 %, 1 MiB
2025/10/01 00:34:13.542, 0, 0 %, 1 MiB
2025/10/01 00:34:13.542, 1, 0 %, 1 MiB
2025/10/01 00:34:43.543, 0, 0 %, 1 MiB
2025/10/01 00:34:43.543, 1, 0 %, 1 MiB
2025/10/01 00:35:13.544, 0, 0 %, 1 MiB
2025/10/01 00:35:13.544, 1, 0 %, 1 MiB
2025/10/01 00:35:43.545, 0, 0 %, 1 MiB
2025/10/01 00:35:43.545, 1, 0 %, 1 MiB
2025/10/01 00:36:13.546, 0, 0 %, 1 MiB
2025/10/01 00:36:13.546, 1, 0 %, 1 MiB
2025/10/01 00:36:43.547, 0, 0 %, 1 MiB
2025/10/01 00:36:43.547, 1, 0 %, 1 MiB
2025/10/01 00:37:13.548, 0, 0 %, 1 MiB
2025/10/01 00:37:13.548, 1, 0 %, 1 MiB
2025/10/01 00:37:43.549, 0, 0 %, 1 MiB
2025/10/01 00:37:43.549, 1, 0 %, 1 MiB
2025/10/01 00:38:13.549, 0, 0 %, 1 MiB
2025/10/01 00:38:13.550, 1, 0 %, 1 MiB
2025/10/01 00:38:43.550, 0, 0 %, 1 MiB
2025/10/01 00:38:43.551, 1, 0 %, 1 MiB
2025/10/01 00:39:13.551, 0, 0 %, 1 MiB
2025/10/01 00:39:13.552, 1, 0 %, 1 MiB
2025/10/01 00:39:43.552, 0, 0 %, 1 MiB
2025/10/01 00:39:43.552, 1, 0 %, 1 MiB
2025/10/01 00:40:13.553, 0, 0 %, 1 MiB
2025/10/01 00:40:13.553, 1, 0 %, 1 MiB
2025/10/01 00:40:43.554, 0, 0 %, 1 MiB
2025/10/01 00:40:43.554, 1, 0 %, 1 MiB
2025/10/01 00:41:13.555, 0, 0 %, 1 MiB
2025/10/01 00:41:13.555, 1, 0 %, 1 MiB
2025/10/01 00:41:43.556, 0, 0 %, 1 MiB
2025/10/01 00:41:43.556, 1, 0 %, 1 MiB
2025/10/01 00:42:13.557, 0, 0 %, 1 MiB
2025/10/01 00:42:13.557, 1, 0 %, 1 MiB
2025/10/01 00:42:43.558, 0, 0 %, 1 MiB
2025/10/01 00:42:43.558, 1, 0 %, 1 MiB
2025/10/01 00:43:13.559, 0, 0 %, 1 MiB
2025/10/01 00:43:13.559, 1, 0 %, 1 MiB
2025/10/01 00:43:43.560, 0, 0 %, 1 MiB
2025/10/01 00:43:43.560, 1, 0 %, 1 MiB
2025/10/01 00:44:13.560, 0, 0 %, 1 MiB
2025/10/01 00:44:13.561, 1, 0 %, 1 MiB
2025/10/01 00:44:43.562, 0, 0 %, 1 MiB
2025/10/01 00:44:43.562, 1, 0 %, 1 MiB
2025/10/01 00:45:13.563, 0, 0 %, 1 MiB
2025/10/01 00:45:13.563, 1, 0 %, 1 MiB
2025/10/01 00:45:43.564, 0, 0 %, 1 MiB
2025/10/01 00:45:43.564, 1, 0 %, 1 MiB
2025/10/01 00:46:13.564, 0, 0 %, 1 MiB
2025/10/01 00:46:13.564, 1, 0 %, 1 MiB
2025/10/01 00:46:43.565, 0, 0 %, 1 MiB
2025/10/01 00:46:43.565, 1, 0 %, 1 MiB
2025/10/01 00:47:13.566, 0, 0 %, 1 MiB
2025/10/01 00:47:13.566, 1, 0 %, 1 MiB
2025/10/01 00:47:43.567, 0, 0 %, 1 MiB
2025/10/01 00:47:43.567, 1, 0 %, 1 MiB
2025/10/01 00:48:13.568, 0, 0 %, 1 MiB
2025/10/01 00:48:13.568, 1, 0 %, 1 MiB
2025/10/01 00:48:43.569, 0, 0 %, 1 MiB
2025/10/01 00:48:43.569, 1, 0 %, 1 MiB
2025/10/01 00:49:13.570, 0, 0 %, 1 MiB
